,episodes,sfw,start_year,episode_duration,total_duration,synopsis_char_count,title_char_count,start_date_day_of_year,end_date_day_of_year,broadcast_time,is_Action,is_Adventure,is_Drama,is_Fantasy,is_Sci-Fi,is_Suspense,is_Supernatural,is_Award Winning,is_Romance,is_Comedy,is_Sports,is_Slice of Life,is_Mystery,is_Avant Garde,is_Horror,is_Ecchi,is_Gourmet,is_Boys Love,is_Girls Love,is_Hentai,is_Erotica,is_Shounen,is_Seinen,is_Shoujo,is_Josei,is_Kids,score
77,13.0,1,2015.0,1480.0,19240.0,876,49,95.0,179.0,0.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.32
82,25.0,1,2017.0,1430.0,35750.0,639,32,91.0,273.0,1050.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8.15
83,12.0,1,2022.0,1420.0,17040.0,1053,31,9.0,86.0,0.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8.34
85,12.0,1,2018.0,1457.0,17484.0,829,10,195.0,272.0,175.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8.43
87,24.0,1,2015.0,1500.0,36000.0,1112,18,94.0,269.0,145.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,8.18
88,24.0,1,2018.0,1375.0,33000.0,1008,11,187.0,355.0,55.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8.5
89,26.0,1,2011.0,1420.0,36920.0,666,8,93.0,268.0,140.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8.46
90,13.0,1,2015.0,1440.0,18720.0,578,56,93.0,177.0,88.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.22
91,25.0,1,1997.0,1500.0,37500.0,1259,20,281.0,91.0,105.0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,8.54
93,13.0,1,2021.0,1432.0,18616.0,877,8,10.0,94.0,30.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8.21
94,12.0,1,2015.0,1380.0,16560.0,770,12,10.0,87.0,118.0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.16
95,24.0,1,2018.0,1440.0,34560.0,464,22,17.0,178.0,95.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8.44
96,25.0,1,2015.0,1450.0,36250.0,967,27,11.0,181.0,118.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8.31
97,13.0,1,2007.0,1480.0,19240.0,961,8,208.0,306.0,30.0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8.38
98,26.0,1,2005.0,1500.0,39000.0,1017,8,296.0,170.0,220.0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,8.67
99,13.0,1,2015.0,1450.0,18850.0,796,16,276.0,360.0,65.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8.17
101,24.0,1,2019.0,1440.0,34560.0,1030,6,7.0,175.0,1350.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8.23
102,75.0,1,2000.0,1380.0,103500.0,1227,14,278.0,86.0,50.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8.75
104,51.0,1,2015.0,1440.0,73440.0,1199,8,98.0,90.0,1080.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9.08
105,10.0,1,2016.0,1420.0,14200.0,923,38,14.0,77.0,65.0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.12
106,12.0,1,2020.0,1461.0,17532.0,935,55,192.0,269.0,118.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.38
107,25.0,1,2013.0,1440.0,36000.0,964,27,279.0,89.0,118.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8.23
109,12.0,1,2014.0,1680.0,20160.0,778,38,285.0,362.0,0.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.19
110,12.0,1,2014.0,1380.0,16560.0,1328,15,99.0,176.0,1290.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8.1
111,291.0,1,1989.0,1450.0,421950.0,1042,13,116.0,31.0,1140.0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8.15
112,51.0,1,2011.0,1460.0,74460.0,1108,8,94.0,86.0,1080.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9.05
113,25.0,1,2008.0,1440.0,36000.0,946,9,276.0,85.0,80.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.1
114,12.0,1,2014.0,1370.0,16440.0,1041,9,187.0,271.0,140.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.39
115,26.0,1,2006.0,1401.0,36426.0,861,22,95.0,270.0,50.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8.16
117,51.0,1,2003.0,1440.0,73440.0,1095,19,277.0,276.0,1080.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8.12
118,24.0,1,2018.0,1420.0,34080.0,1339,30,275.0,78.0,0.0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.13
119,22.0,1,2015.0,1380.0,30360.0,1252,18,10.0,171.0,55.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8.1
120,25.0,1,2013.0,1500.0,37500.0,884,26,279.0,89.0,1020.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8.23
121,25.0,1,2018.0,1400.0,35000.0,848,32,97.0,272.0,1050.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8.08
123,170.0,1,2017.0,1430.0,243100.0,1200,12,276.0,89.0,1105.0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8.12
